,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
1779,-0.16464487,0.53694522,0.33509693,-0.52641857,-0.10069496,-0.14579521,-0.14297888,-0.21623027,-0.29712105,-0.79928768,-0.17299607,0.76585108,0.31084791,0.17697348,0.40600961,0.10050122,0.00531018,0.0,0.00528098
1780,-0.31767699,-0.01082674,0.02882258,-0.09271234,0.0229055,-0.16497971,-0.02462557,0.40325451,-0.13541315,-0.31596965,-0.27624652,0.34502295,0.0511426,0.37994894,0.04481677,-0.0422016,0.01062383,0.48349544,0.41267061
1781,-0.36491099,0.16388912,0.42994487,0.00688281,0.17425926,-0.90211767,0.53334665,-0.51163393,-0.73290604,-0.17253797,0.41666976,0.85706836,-0.18121649,0.65331036,0.48463863,0.20254327,0.01587427,0.0,0.0
1782,-0.38638172,-0.8465147,-0.10187025,-0.39256895,0.02292455,-0.34141392,0.18829729,0.01940599,-0.09907769,-0.32595655,0.74098259,0.17485902,-0.28345165,0.26749808,-0.07834746,0.47609937,0.00530627,0.05520171,0.00174409
1783,-0.05582359,0.44314712,0.24715362,0.12417239,0.19369467,-0.47781378,-0.07552159,-1.10424638,0.136758,-0.17990908,0.48074466,0.56693578,0.13580903,0.54989725,0.43814525,0.38533577,0.0,0.00307045,0.03134818
1784,-0.11344275,0.41263312,0.29764742,-0.05053746,-0.0846052,-0.50113934,0.51326621,0.14964525,0.02637675,-0.3683303,0.0504301,0.25399357,-0.09310056,0.08507667,-0.15645191,0.63609374,0.01575931,0.00522239,0.03124396
1785,-0.12176187,-0.22181831,0.51184672,-0.33136609,0.1090572,-0.54303062,-0.32534406,0.34071699,-0.66952258,-0.60098588,0.41458827,0.20898993,-0.8132686,0.54650152,0.47349384,0.30047134,0.0,0.09369536,0.01294888
1786,-0.20848195,0.39936641,0.94892383,-0.41829813,-0.19832079,-0.42345256,0.14789486,0.08646914,-0.22065839,-0.16646832,-0.46632442,0.67334175,-0.3467657,0.20864069,0.28397015,0.67449075,0.00528441,0.00535388,0.05385191
1787,-0.22994432,0.3100639,0.301889,-0.04579206,-0.08628048,-0.44881684,-0.17840575,0.07890832,0.00319071,-0.18691394,-0.21816929,0.48785257,0.10909914,0.21287207,-0.01102016,0.14015147,0.0,0.06387715,0.06918957
1788,-0.18992272,0.55274779,0.58114839,0.06630617,-0.59464639,-0.16886061,-0.69912624,0.17764877,0.02489492,-0.22475009,0.25037849,0.38062069,0.21679671,-0.03735527,-0.16012797,-0.08742195,0.0,0.53127187,0.13732648
1789,-0.13933487,0.67855304,0.34369606,-0.27421728,-0.0400839,-0.21238171,-0.25020933,0.09041256,-0.27126303,-0.69290137,0.1264637,0.65129143,0.13652696,0.27998719,0.47751692,-0.25071755,0.0,0.08059886,0.17026912
1790,-0.07759406,0.47522172,0.08878603,0.18287988,-0.22028266,-0.038451,0.06691684,-0.43002018,-0.74289554,-0.50789374,0.15930888,0.30571616,0.40092361,0.54931718,0.33159843,-0.0736878,0.00530179,0.03335134,0.02241568
1791,0.03764826,-0.25083709,0.33568069,0.32891181,0.27257082,-0.15600395,0.11172164,-0.07251476,0.24569802,-0.11394832,0.17382661,0.39385283,-0.19472739,0.2651507,0.15203951,0.28737611,0.00531248,0.3174881,0.1824826
1792,-0.23653795,0.79572988,0.3296679,-0.70332903,0.04643496,0.17219843,-0.2053306,-0.22175542,-0.33449617,-0.68420684,0.29042169,0.837318,-0.54060888,0.76619869,0.03033813,0.40523908,0.01058496,0.140525,0.02588941
1793,-0.288831,0.2550205,0.25128204,-0.04138491,-0.43151882,-0.301195,0.08691944,0.18366374,-0.36116236,-0.35555729,0.03952107,0.3497816,0.17374706,0.39815015,-0.23549703,0.43962786,0.00528589,0.28529763,0.02986966
1794,-0.32818621,0.91840613,0.34004933,-0.05972461,-0.252617,-0.40544263,-0.36113468,0.45481443,-0.26286548,-1.41707504,0.23381238,0.78941268,-0.54639673,0.89166278,0.18438816,0.97357565,0.01572954,0.00180456,0.01867809
1795,-0.0454741,-0.12157008,0.06613081,0.30414176,0.09004603,-0.00997406,0.35555458,0.2240214,0.08756014,0.0065926,-0.23802155,-0.04064753,0.02421105,-0.18903388,-0.14962605,-0.00401023,0.01061449,0.07620766,0.1895836
1796,-0.36009055,0.63200694,0.30067232,-0.92451906,-0.20010947,-0.12942488,-0.28694522,0.10418039,-0.57645857,-0.93019181,0.21910267,0.70218265,-0.31192142,0.5830729,0.06224383,0.33608577,0.0,0.00870308,0.02930758
1797,-0.23951586,0.72967917,0.56854743,-0.30761194,-0.19258615,-0.34087214,-0.1550632,0.18752095,-0.10464347,-0.79521459,0.09438985,0.95865357,-0.137255,0.44125289,0.2926155,0.39397401,0.0,0.00117284,0.04113508
1798,-0.53543544,0.35403875,-0.14147221,0.1077975,-0.21720234,-0.12197712,0.21897249,0.14544733,-0.20022869,-0.48799613,-0.28481102,0.52628267,0.01490031,-0.08066554,-0.58112091,0.3012847,0.0,0.00263326,0.12507887
1799,0.06340779,0.98508531,0.47309253,-1.14047527,-0.11963552,0.1448708,-0.25773031,-0.48071253,-0.08254895,-0.88034517,0.62300712,0.36961749,-0.27445093,0.5143609,0.46173412,0.59349763,0.01575145,0.00229028,0.04094522
1800,-0.25944009,0.7900418,0.53714114,-0.66568738,-0.16943833,0.23957224,-0.27913573,-0.42569861,-0.29320925,-0.80835527,0.01037161,0.43194491,0.05863257,0.48295671,0.72473848,-0.39445615,0.01054022,0.01524848,0.08465215
1801,-0.3014017,0.87328017,0.20830934,-0.32316321,-0.17471787,-0.7684617,-0.28330734,-0.22933933,-0.19828248,-0.10586517,0.94319028,0.477873,-0.08448934,-0.12790832,-0.36374918,-0.12015857,0.00529713,0.00205674,0.02536473
1802,-0.17643434,-0.3197993,0.47971031,-0.03901781,-0.13083646,-0.22304375,-0.09896646,-0.02757381,0.19803837,-0.13094838,-0.42209575,0.17206459,0.17948705,-0.19295637,0.36647308,0.15364884,0.00531513,0.18323766,0.21901098
1803,-0.26547939,0.58550632,0.29022586,-0.22687458,0.05991009,-0.40095329,-0.23337841,0.11658516,-0.29855716,-0.50323004,-0.67817301,0.70318937,-0.07773606,0.62588555,-0.10795666,0.28538683,0.0,0.0,0.12880203
1804,-0.1554547,0.38929296,0.22968768,-0.04379071,0.17604335,-0.47199389,-0.77620721,0.25140256,-0.60572124,-0.53900099,0.2110828,0.42114806,-0.47315091,0.15657686,0.15343355,-0.38076633,0.0,0.00845811,0.05630435
